title,link,snippet
mlip-cmu: Machine Learning in Production @ CMU,https://mlip-cmu.github.io/,"Machine Learning in Production @ CMU. Find resources related to teaching and research on how to build, deploy, assure, and maintain software products with ..."
Hands-On Machine Learning with R,https://bradleyboehmke.github.io/HOML/,"Hands-On Machine Learning with R. Bradley Boehmke & Brandon Greenwell. 2020-02-01. Preface. This book is sold by Taylor & Francis Group, ..."
Technology readiness levels for machine learning systems | Nature ...,https://gbaydin.github.io/assets/pdf/lavin-2022-technology.pdf,"Oct 20, 2022 ... The development and deployment of machine learning systems can be executed easily with modern tools, but the process is typically rushed and ..."
Machine Learning - Argo Workflows - The workflow engine for ...,https://argoproj.github.io/argo-workflows/use-cases/machine-learning/,Machine Learning¶. Docs¶. Try out Hera for writing Workflows in Python. Also read: How To Get the Most out of Hera for Data Science.
Efficient and Robust Automated Machine Learning,https://aaronkl.github.io/assets/pdf/autosklearn.pdf,"Recent work has started to tackle this automated machine learning (AutoML) problem with the help of efficient Bayesian optimization methods. Building on this, ..."
The Discipline of Machine Learning,https://aykuterdem.github.io/classes/bbm406/readings/MachineLearning.pdf,Over the past 50 years the study of Machine Learning has grown from the efforts of a handful of computer en- gineers exploring whether computers could learn ...
Overview – IDS705: Principles of Machine Learning,https://kylebradbury.github.io/ids705/,Overview. IDS:705 Principles of Machine Learning. Author. Affiliation. Kyle Bradbury. Duke University ...
My Machine Learning Research Jobhunt – Generalized Error ...,https://generalizederror.github.io/My-Machine-Learning-Research-Jobhunt/,"Apr 8, 2019 ... Generalized Error. Machine Learning Researcher. Blog About. My Machine Learning Research Jobhunt. In the last few months, I interviewed at a ..."
MLDS Lab: Welcome,https://martinastro.github.io/,Machine Learning for Dynamical Systems is a center of excellence advancing artificial intelligence and astrodynamics research.
ML For Systems: Announcement,http://mlforsystems.github.io/,The ML for Systems workshop presents cutting-edge work on ML in computer systems and aims to develop a unified methodology for the field. Machine Learning (ML) ...
Machine Learning Tutorials - Qiskit Machine Learning 0.8.4,https://qiskit-community.github.io/qiskit-machine-learning/tutorials/index.html,"Machine Learning Tutorials: Quantum Neural Networks, Neural Network Classifier & Regressor, Training a Quantum Model on a Real Dataset, Quantum Kernel Machine ..."
Foundations of Machine Learning - Maximilian Kasy,https://maxkasy.github.io/home/ML_Oxford_2022/,Foundations of Machine Learning. Tentative Syllabus: Syllabus_ML_Oxford_2022.pdf. Foundations. Review of decision theory Slides; Probably approximately ...
Multimodal Machine Learning,https://cmu-mmml.github.io/,11-777 - Multimodal Machine Learning - Carnegie Mellon University.
DoubleML — DoubleML documentation,http://doubleml.github.io/,The Python and R package DoubleML provide an implementation of the double / debiased machine learning framework of Chernozhukov et al. (2018).
Machine Learning for Discrete Optimization (MS&E 236 / CS 225 ...,https://vitercik.github.io/ml4do/,Machine Learning for Discrete Optimization. Course information. Quarter: Spring 2024; Lecture time: Mondays and Wednesdays 1:30-2:50pm; Lecture location: 200 ...
17-445 Machine Learning in Production / AI Engineering,https://mlip-cmu.github.io/s2025/,"This is a course for those who want to build software products with machine learning, not just models and demos."
Machine Learning for Variance Reduction in Online Experiments,https://dominiccoey.github.io/assets/papers/variance_reduction.pdf,"We propose a machine learning regression-adjusted treatment effect estimator, which we call MLRATE. MLRATE uses machine learning predictors of the outcome to ..."
Machine Learning in Heliophysics - ML-Helio,https://ml-helio.github.io/2019/index_2019.html,"The goal of this first ML- Helio conference is to leverage the advancements happening in disciplines such as machine learning, deep learning, ..."
Classes of Kernels for Machine Learning: A Statistics Perspective,https://marcgenton.github.io/2001.G.JMLR.pdf,"Abstract. In this paper, we present classes of kernels for machine learning from a statistics perspective. Indeed, kernels are positive definite functions ..."
Machine Learning Team Projects: a Survival Guide – Daniele ...,https://danielegrattarola.github.io/posts/2018-03-20/ml-team-projects.html,"Mar 20, 2018 ... Ever since I started getting closer to machine learning, well before I started my PhD, I have always found it extremely annoying to keep ..."
Machine learning with ROOT - ROOT,https://root-project.github.io/web/manual/tmva/,"Most of the external machine learning libraries will accept (or expect) a collection of Numpy arrays as the input dataset, either for training or testing. It is ..."
Home | CS 189/289A,https://berkeleyml.github.io/,"This course introduces the theoretical foundations, algorithms, and applications of machine learning, combining mathematical rigor with practical experience."
"Machine Learning and the Physical Sciences, NeurIPS 2022",https://ml4physicalsciences.github.io/2022/,Website for the Machine Learning and the Physical Sciences (MLPS) workshop at the 35th Conference on Neural Information Processing Systems (NeurIPS)
General Insurance Machine Learning in Reserving Working Party ...,https://institute-and-faculty-of-actuaries.github.io/mlr-blog/,"Looking for our posts about machine learning and reserving? Check out our recent and older blog posts on research, issues, literature."
CMS Machine Learning Documentation,https://cms-ml.github.io/documentation/index.html,Welcome to the documentation hub for the CMS Machine Learning Group! The goal of this page is to provide CMS analyzers a centralized place to gather machine ...
Machine Learning Symposium - 2025 - BayLearn,https://baylearn-org.github.io/www/,"Thu, Oct 16th 2025, Santa Clara University. The BayLearn Symposium aims at gathering scientists in machine learning from the San Francisco Bay Area. While it ..."
Machine Learning Experiments,https://trekhleb.github.io/machine-learning-experiments/,This is a demo app for Machine Learning Experiments GitHub repository. Go there if you want to see how all these models were trained. Digits Recognition ...
Foundations of Machine Learning,https://bloomberg.github.io/foml/,This course covers a wide variety of topics in machine learning and statistical modeling. The primary goal of the class is to help participants gain a deep ...
Machine Learning for Health - ML4H,https://ml4health.github.io/2019/,"ML4H 2019: a workshop at NeurIPS 2019 December 2019 Vancouver Convention Centre, Vancouver, Canada This workshop will bring together machine learning ..."
Applied Machine Learning,https://kuleshov-group.github.io/aml-website/,"This open online course is a broad introduction to the field of machine learning (ML), based on CS 5785 at Cornell Tech. It covers machine learning algorithms ( ..."
Getting started - Qiskit Machine Learning 0.8.4,https://qiskit-community.github.io/qiskit-machine-learning/getting_started.html,"Installation¶. Qiskit Machine Learning depends on Qiskit, which has its own installation instructions detailing installation options and its supported ..."
Introduction to Machine Learning (I2ML),https://slds-lmu.github.io/i2ml/,This website offers an open and free introductory course on (supervised) machine learning. The course is constructed as self-contained as possible.
Aalto Dictionary of Machine Learning (ADictML) | AaltoDictionaryofML,https://aaltodictionaryofml.github.io/,"Welcome! This is the working draft of the Aalto Dictionary of Machine Learning (ADictML) — a growing collection of short, clear definitions for key terms ..."
Machine Learning for Algorithm Design (MS&E/CS 331),https://vitercik.github.io/ml4algs/,Machine Learning for Algorithm Design. Course information. Quarter: Spring 2023; Lecture time: Tuesday and Thursdays 3:00-4:20pm; Lecture location: ...
Introduction to Machine Learning,https://hsf-training.github.io/hsf-training-ml-webpage/,This tutorial explores Machine Learning using scikit-learn and PyTorch for applications in high energy physics.
Combining rule engines and machine learning - nlathia.github.io,https://nlathia.github.io/2020/10/ML-and-rule-engines.html,"Oct 9, 2020 ... In the infamous Rules of Machine Learning, one of the first sections states “don't be afraid to launch a product without machine learning” ..."
Chemical reaction networks and opportunities for machine learning,https://espottesmith.github.io/files/papers/wen_chemical_reaction_2023.pdf,"To capture increasingly complex phenomena, CRNs can be leveraged alongside data-driven methods and machine learning (ML). In this. Perspective, we assess the ..."
IBM Watson Machine Learning,https://ibm.github.io/watson-machine-learning-sdk/index.html,"The ibm-watson-machine-learning Python library allows you to work with IBM Watson Machine Learning services. You can train, store, and deploy your models."
Machine Learning on GPU,https://hsf-training.github.io/hsf-training-ml-gpu-webpage/,This tutorial explores Machine Learning using GPU-enabled PyTorch for applications in high energy physics.
SoK: Security and Privacy in Machine Learning,https://oaklandsok.github.io/papers/papernot2018.pdf,"Advances in the science of machine learning (ML) cou- pled with growth in computational capacities transformed the technology landscape, as embodied by the ..."
AdvML 2024 - New Frontiers in Adversarial Machine Learning,https://advml-frontier.github.io/,"The 3rd New Frontiers. in Adversarial Machine Learning. (AdvML Frontiers @NeurIPS2024). Dec. 14, 2024. East Ballroom C. Vancouver Convention Center."
Machine Learning @Sapienza | ML-s2-2025,https://erodola.github.io/ML-s2-2025/,"Machine Learning @Sapienza. Course material, 2nd semester a.y. 2024/2025, Mathematical Sciences for AI (SMIA). News 🗞️. 13/05/2025: The list of projects has ..."
Quantum Kernel Machine Learning - Qiskit Machine Learning 0.8.4,https://qiskit-community.github.io/qiskit-machine-learning/tutorials/03_quantum_kernel.html,"In this notebook, you will learn how to define quantum kernels using qiskit-machine-learning and how these can be plugged into different algorithms."
ML Hardware and Systems,https://abdelfattah-class.github.io/ece5545/,"A master's level course that takes a hardware-centric view of machine learning systems, from constrained embedded microcontrollers to large distributed multi- ..."
Interpretable Machine Learning (IML),https://slds-lmu.github.io/iml/,This website offers an open and free introductory course on Interpretable Machine Learning. The course is constructed as self-contained as possible.
Accord.NET Machine Learning Framework,http://accord-net.github.io/,Accord.NET is a .NET machine learning framework combined with audio and image processing libraries completely written in C# ready to be used in commercial ...
Machine learning functions — Starburst Enterprise,https://starburstdata.github.io/latest/functions/ml.html,The machine learning plugin provides machine learning functionality as an aggregation function. It enables you to train Support Vector Machine (SVM) based ...
What Is Machine Learning? | Python Data Science Handbook,https://jakevdp.github.io/PythonDataScienceHandbook/05.01-what-is-machine-learning.html,"Machine learning involves building mathematical models to help understand data. ""Learning"" enters the fray when we give these models tunable parameters."
AstroML: Machine Learning and Data Mining for Astronomy ...,http://astroml.github.io/,"It contains a growing library of statistical and machine learning routines for analyzing astronomical data in Python, loaders for several open astronomical ..."
Theorem Proving and Machine Learning in the age of LLMs: SoA ...,https://europroofnet.github.io/wg5-edinburgh25/,"Machine learning (ML) has been shown to be very successful in programming and translation tasks, and creates new opportunities combining AI with proofs."
36 Citing this Book – Interpretable Machine Learning,https://christophm.github.io/interpretable-ml-book/cite.html,"You can cite the book like this: Molnar, C. (2025). Interpretable Machine Learning: A Guide for Making Black Box Models Explainable (3rd ed.)."
Machine Learning for Biologists,https://carpentries-incubator.github.io/ml4bio-workshop/,The Machine Learning for Biologists (ML4Bio) workshop is aimed at biologists with no previous machine learning experience and minimal computational experience.
Machine Learning | Computer Science | The University of Sheffield,https://sheffieldml.github.io/,Machine Learning. Machine Learning. We explore and develop the capacity for algorithms to learn and make decisions and predictions from their environment. We ...
A Survey of Machine Learning for Big Code and Naturalness ...,https://ml4code.github.io/,Contact Miltos Allamanis about this survey or website. Made with Jekyll and Hyde. Machine Learning on Source Code. The billions of lines of source code that ...
Human & Machine Intelligence,https://lake-lab.github.io/,"In 2017, Brenden Lake started the Human & Machine Learning Lab at New York University in 2017. In 2025, the lab moved to Princeton University and evolved ..."
Machine Learning Explanations with Topological Data Analysis,https://sauln.github.io/blog/tda_explanations.html/,"In this work, we will focus on understanding the exploratory power of Mapper and how we can apply it to understand a machine learning model."
Cargese2025 | Website of the Cargese 2025 event,https://cargese2025.github.io/,The statistical physics community and the machine learning ones have long been connected and indeed many concepts and algorithms of machine learning have ...
Intro to AI for GLAM: Applying Machine Learning,https://carpentries-incubator.github.io/machine-learning-librarians-archivists/06-applying-machine-learning.html,What skills and people should be involved in a machine learning project? How can machine learning models predictions be utilised by an organization? Objectives.
Machine Learning Playground,https://peterleong.github.io/ML-Playground/,Machine Learning Playground. Feedback. Upload Data. Save Data. Clear all. K Nearest Neighbors. Perceptron. Support Vector Machine. Artificial Neural Network ...
Deep Learning Course,https://brown-deep-learning.github.io/dl-website-2022/,"This course is there to give students a practical understanding of how Deep Learning works, how to implement neural networks, and how to apply them ethically."
DEEP LEARNING · Deep Learning,https://atcold.github.io/NYU-DLSP21/,"Deep Learning. DEEP LEARNING. DS-GA 1008 · SPRING 2021 · NYU CENTER FOR DATA SCIENCE. INSTRUCTORS, Yann LeCun & Alfredo Canziani. LECTURES, Wednesday 9:30 – 11: ..."
Understanding Deep Learning,https://udlbook.github.io/udlbook/,Slides for 20 lecture undergraduate deep learning course: Introduction PPTX; Supervised Learning PPTX; Shallow Neural Networks PPTX; Deep Neural Networks PPTX ...
Introduction to deep learning: Summary and Setup,https://carpentries-incubator.github.io/deep-learning-intro/,"This is a hands-on introduction to the first steps in Deep Learning, intended for researchers who are familiar with (non-deep) Machine Learning."
Deep Learning Rules of Thumb - Jeff Macaluso,https://jeffmacaluso.github.io/post/DeepLearningRulesOfThumb/,"Dec 19, 2018 ... Deep Learning Rules of Thumb. 26 minute read. When I first learned about neural networks in grad school, I asked my professor if there were ..."
Recommending music on Spotify with deep learning – Sander ...,http://benanne.github.io/2014/08/05/spotify-cnns.html,"Aug 5, 2014 ... What to do when no usage data is available. Predicting listening preferences with deep learning. Music recommendation based on audio signals."
Uncertainty in Deep Learning,https://seunghan96.github.io/assets/pdf/BNN/paper/20.Uncertainty%20in%20Deep%20Learning%20(2016).pdf,"Deep learning has attracted tremendous attention from researchers in various fields of information engineering such as AI, computer vision, and language ..."
Deep Learning for Event-Driven Stock Prediction - Xiao Ding ...,https://frcchang.github.io/pub/ijcai15.xiao.pdf,"We propose a deep learning method for event- driven stock market prediction. First, events are extracted from news text, and represented as dense vectors ..."
Deep Learning For Code,https://dl4c.github.io/,"We are pleased to announce that after three successful installations at ICLR'22, '23, and '25, the 4th Deep Learning for Code (DL4C) worshop **Deep Learning ..."
TREC 2023 Deep Learning Track Guidelines | msmarco,https://microsoft.github.io/msmarco/TREC-Deep-Learning.html,The Deep Learning Track in 2023 will continue to have the passage ranking and document ranking tasks; and two subtasks in each case: full ranking and reranking.
"Deep Learning, NLP, and Representations - colah's blog",https://colah.github.io/posts/2014-07-NLP-RNNs-Representations/,"Jul 7, 2014 ... Deep Learning, NLP, and Representations · Introduction. In the last few years, deep neural networks have dominated pattern recognition. · One ..."
Practical Deep Learning,https://fastai.github.io/course22-web/,"A free course designed for people with some coding experience, who want to learn how to apply deep learning and machine learning to practical problems."
Overview — deep learning for molecules & materials,https://whitead.github.io/dmol-book,Deep learning is becoming a standard tool in chemistry and materials science. Deep learning is specifically about connecting some input data (features) and ...
Analogies between Biology and Deep Learning [rough note ...,https://colah.github.io/notes/bio-analogies/,"Oct 2, 2021 ... There are a number of exciting connections between physics and deep learning. Perhaps the most discussed are scaling laws (e.g. Kaplan et al ..."
"6.S898 Deep Learning, Fall 2023",https://phillipi.github.io/6.s898/,"Fundamentals of deep learning, including both theory and applications. Topics include neural net architectures (MLPs, CNNs, RNNs, graph nets, transformers), ..."
CS565600 Deep Learning,https://nthu-datalab.github.io/ml/,"Fundamentals of machine learning, deep learning, and AI."
"Meet “Iva”, my mini Deep Learning rig | Chan Kha Vu",https://hav4ik.github.io/meet-iva-my-dl-rig/,"Nov 24, 2023 ... I built a cheap-ish 2x3090 RTX Deep Learning rig for my personal projects and experiments. In this post, I will share my build philosophy, inspirations, and ..."
Deep learning algorithm predicts diabetic retinopathy progression in ...,https://maguire-lab.github.io/health_data_science_research_2024/static_files/literature/retinopathy_progression.pdf,"Sep 20, 2019 ... We describe an algorithm to predict DR progression by means of deep learning (DL), using as input color fundus photographs (CFPs) acquired at a single visit ..."
Grokking Deep Learning - i am trask,https://iamtrask.github.io/2016/08/17/grokking-deep-learning/,"Aug 17, 2016 ... If you passed high school math and can hack around in Python, I want to teach you Deep Learning. Edit: 50% Coupon Code: ""mltrask"" (expires ..."
Deep Learning for Economists,https://econdl.github.io/redirects/publications/econdl,"Jul 22, 2024 ... Abstract page for arXiv paper 2407.15339: Deep Learning for Economists. ... When suitable methods are used, deep learning models can be cheap to ..."
Optimal Auctions through Deep Learning,https://marketdesign.github.io/files/duetting19a.pdf,"We. Page 2. Optimal Auctions through Deep Learning adopt the Augmented Lagrangian Method to solve the result- ing constrained optimization problem, where in ..."
Learning Deep Representations of Data Distributions,https://ma-lab-berkeley.github.io/deep-representation-learning-book/,"About this Book. In the current era of deep learning and especially ""generative artificial intelligence"", there is significant investment in training very large ..."
Deep Learning and Scientific Computing with R torch,https://skeydan.github.io/Deep-Learning-and-Scientific-Computing-with-R-torch/,"Apr 1, 2023 ... This is a book about torch, the R interface to PyTorch. PyTorch, as of this writing, is one of the major deep-learning and scientific-computing frameworks."
EconDL | Blog,https://econdl.github.io/,"... deep learning in their research. This website contains user-friendly software and dataset resources, and a knowledge base that goes into considerably more ..."
An End-to-End Deep Learning Architecture for Graph Classification,https://muhanzhang.github.io/papers/AAAI_2018_DGCNN.pdf,many other deep learning methods for graph classification. 2 Deep Graph Convolutional Neural. Network (DGCNN). DGCNN has three sequential stages: 1) graph ...
Building A Flexible Configuration System For Deep Learning Models ...,https://julienbeaulieu.github.io/2020/03/16/building-a-flexible-configuration-system-for-deep-learning-models/,"Mar 16, 2020 ... ... deep learning projects, whether for work or personal. I loved their approach and decided to join them. This post is an attempt to summarize ..."
"Lessons from Optics, The Other Deep Learning – arg min blog",http://benjamin-recht.github.io/2018/01/25/optics/,"Jan 25, 2018 ... Would you say deep learning is mature enough to be taught in high schools? Here's why I ask. Some time ago, I received an email from a ..."
10417/10617 Fall 2019 : Intermediate Deep Learning,https://deeplearning-cmu-10417.github.io/,08/26/19 Welcome to 10417/10617 Deep Learning Coursework! We look forward to meeting you on Monday 08/26/2018. Course Outline. Building intelligent machines ...
Deep Learning & Applied AI @Sapienza | DLAI-s2-2025,https://erodola.github.io/DLAI-s2-2025/,"Deep Learning & Applied AI @Sapienza. Course material, 2nd semester a.y. 2024/2025, Dept. of Computer Science. News 🗞️. 25/05/2025: The exam dates are now ..."
UvA Deep Learning II Course,https://uvadl2c.github.io/,About. Deep learning II is taught in the MSc program in Artificial Intelligence of the University of Amsterdam. In this course we study the theory of deep ...
Building a deep learning rig | part-1 - Samsja,https://samsja.github.io/blogs/rig/part_1/,"Building a deep learning rig | part-1. 03 february, 2024. I just got my hands on a mining rig with 3 rtx 3090 founder edition for the modest sum of 1.7k ..."
DEEP LEARNING · Deep Learning,https://atcold.github.io/NYU-DLSP20/,"This course concerns the latest techniques in deep learning and representation learning, focusing on supervised and unsupervised deep learning."
Information Theory of Deep Learning – Aditya Sharma – Data ...,https://adityashrm21.github.io/Information-Theory-In-Deep-Learning/,"Dec 17, 2018 ... I will assume some knowledge of basic deep learning and neural networks along with some familiarity with the fundamentals of machine learning ( ..."
Deep learning with COTS HPC systems,https://readingxtra.github.io/docs/ml-gpu/coates-dl-gpu-icml13.pdf,Scaling up deep learning algorithms has been shown to lead to increased performance in benchmark tasks and to enable discovery of.
What Uncertainties Do We Need in Bayesian Deep Learning for ...,https://seunghan96.github.io/assets/pdf/BNN/paper/29.What%20Uncertainties%20Do%20We%20Need%20in%20Bayesian%20Deep%20Learning(2017).pdf,For this we present a Bayesian deep learning framework combining input-dependent aleatoric uncer- tainty together with epistemic uncertainty. We study models ...
Dataflowr - Deep Learning DIY,https://dataflowr.github.io/website/,"May 28, 2025 ... Practical deep learning course · Mathematics: basics of linear algebra, probability, differential calculus and optimization · Programming: Python."
Deep learning benchmark — AI Power Meter documentation,https://greenai-uppa.github.io/AIPowerMeter/experiments/experiments.html,"This section describes energy measurements for classic deep learning models. For each model, the experiment is as follows:"
Untitled,https://bana-handaga.github.io/cv/deeplearning/contents/intro.html,we call this approach to AI deep learning. Many of the early successes of AI took ...
IndabaX Nigeria - Deep Learning Indaba 2025,https://indabaxng.github.io/,"Deep Learning IndabaX. Nigeria 2025. Empowering Nigeria's AI Ecosystem for Sustainable Development. Registration Closed. 16th - 17th July, 2025. Physical ..."
Deep Learning @ VU,https://dlvu.github.io/,Deep Learning at VU University Amsterdam · 7. · 10. Reinforcement learning · 12. Generalization · 13. Explainability ...
